Note, Blocked=TRUE IPs will stop having their metrics updated as they have been blocked.						
						
TotalIps: 3138, TotalTxs: 4097594, AvgFees: 251711						
						
IP	TxCount	DupCount	AvgFee	MinFee	MaxFee	Blocked
74.118.140.197	150	82	19697	5000	505001	TRUE
208.91.107.79	148	117	9327	5000	230002	TRUE
195.181.173.218	147	416	24747	15923	186370	TRUE
66.55.159.244	147	191	34941	5000	1005001	TRUE
141.98.218.57	147	281	59924	5000	1005001	TRUE
51.75.164.254	147	281	35271	6969	74348	TRUE
185.229.191.121	145	92	20255	15928	74685	TRUE
185.102.218.151	145	116	20527	15908	104173	TRUE
74.63.235.222	145	693	7985	5010	20000	TRUE
5.161.97.62	144	723	66814	5055	605000	FALSE
35.171.146.75	144	704	123395	5050	3505000	FALSE
185.102.218.131	144	239	24716	15901	140047	TRUE
51.195.199.163	144	294	18089	6969	30100	TRUE
64.20.47.246	143	867	22946	5000	415000	TRUE
195.181.173.144	143	162	23620	15896	216831	TRUE
185.229.191.99	143	81	27017	15921	484892	TRUE
108.171.203.218	143	23	59280	6000	115000	TRUE
67.209.54.112	143	421	56992	5000	5005001	TRUE
195.181.173.242	143	376	29452	15928	297954	TRUE
208.91.106.69	142	621	2078370	5000	20005001	FALSE
18.232.73.201	142	767	100347	5050	105000	FALSE
185.102.218.136	142	186	29171	15972	397939	TRUE
195.181.173.145	142	154	32089	15899	525238	TRUE
74.118.142.167	142	1463	82614	5000	1010140	TRUE
104.243.34.34	141	906	35332	5900	415000	TRUE
174.138.185.18	141	695	44099	5000	1355071	TRUE
103.106.59.93	141	338	26315	25006	27235	TRUE
54.37.197.137	141	313	32149	6969	73660	TRUE
51.195.199.122	141	268	30220	6969	74384	TRUE
44.200.49.103	140	739	101615	5000	156470	FALSE
185.229.191.75	140	91	23293	15897	165901	TRUE
45.43.11.20	140	560	27254	5039	162492	TRUE
185.229.191.74	139	115	24419	15918	320682	TRUE
23.109.30.60	138	471	400746	5000	2005000	FALSE
195.181.173.147	138	209	24011	15962	229746	TRUE
195.181.173.142	138	179	24471	15914	284470	TRUE
202.8.8.35	138	280	7918	5000	20064	TRUE
160.202.128.121	137	474	104466	5050	3646472	FALSE
138.2.91.205	137	403	23077	5010	645000	TRUE
204.16.244.123	137	1641	91830	5125	10005000	TRUE
135.148.153.151	137	327	77258	5100	805156	FALSE
103.50.32.104	137	498	30138	5000	1009061	TRUE
44.220.52.112	136	1018	236120	45000	21005000	FALSE
79.127.227.26	136	108	17405	16004	62945	TRUE
51.195.199.118	136	310	18655	6969	30100	TRUE
67.209.54.254	136	1171	28614	5001	2505000	TRUE
154.64.230.192	136	3368	5147	5147	5251	TRUE
3.238.117.249	135	958	86731	45000	605000	FALSE
